Seconds Since 1995,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Maneuver
226032820.628832,1.7197200358798168,2.24691942572498,0.0013202,4.566910551243206,1.71553124567503,14.34878788,6021.414541950842,7153.603592054009,0.9889313441121295,-0.14837384079606852,0.780004637399383,-0.6257737335774466,-0.989436663239735,-0.14496582161674945,0.9895441733217257,-0.14423012530335802,0
226038845.696544,1.7197200358798168,2.248121957579604,0.0013202,4.563302955679335,1.7193412994321338,14.34878788,6021.414541950842,7153.603592054009,0.9889313441121295,-0.14837384079606852,0.7792515607567341,-0.6267112613143265,-0.9889072476928392,-0.14853435784549518,0.9889874677653818,-0.14799928581928332,0
226044870.572448,1.7197427251600925,2.24953567427372,0.0014117,4.674281461496646,1.607678624548041,14.34779997,6021.8291431895395,7153.931959954382,0.9889279773619176,-0.14839627889831492,0.7783647901753823,-0.6278122756168704,-0.9992739963659893,-0.038098296375884605,0.9993199251538394,-0.036873936466356616,0
226050896.219904,1.7197252718675726,2.2507382061283434,0.0014945,4.725611594797799,1.5566085453054348,14.34768809,6021.876100040031,7153.969149726117,0.9889305672149596,-0.14837901882644372,0.7776092633072623,-0.6287478299117514,-0.9999125825077071,0.013222229114932715,0.9998993551164811,0.01418730551039631,0
226056921.5088,1.7196886199532808,2.2519529552877318,0.0016087,4.823163282679518,1.4588247286332003,14.3477946,6021.831397000902,7153.933744972605,0.9889360049257929,-0.1483427725283983,0.7768449188711702,-0.6296919659834044,-0.9938707984147157,0.1105478903394159,0.9937377275486916,0.11173776821810227,0
226062946.810656,1.7196851292947766,2.2531886483981434,0.0016711,4.849659126054044,1.432414406392022,14.34799763,6021.746185638309,7153.866257432707,0.9889365227337285,-0.14833932048961881,0.7760662199484135,-0.6306514269031512,-0.9905932385210042,0.13683945263142772,0.9904404916984758,0.13794068436861376,0
226062946.90656,1.7196886199532808,2.2531624684593634,0.0016292,4.8251739019778155,1.4569415183702985,14.34774504,6021.852197618923,7153.950219048093,0.9889360049257929,-0.1483427725283983,0.7760827300982057,-0.6306311093209053,-0.9936465199373906,0.11254596135052058,0.9935255398257964,0.1136089860612259,0
226099098.121536,1.7197113092335568,2.2603689329408483,0.0017157,4.856132552249691,1.4255919143459765,14.34764638,6021.893606218081,7153.983014574318,0.9889326388804965,-0.1483652107364034,0.7715179966283582,-0.6362074982885416,-0.989686669155936,0.14324907292903838,0.9894763491482134,0.14469469401578977,0
226111148.917056,1.7197357438430847,2.262732108748049,0.0018539,4.733011790826255,1.5502904534132151,14.34802188,6021.736008113754,7153.858196795171,0.9889290133392838,-0.14838937487499076,0.7700123735507634,-0.6380289527746524,-0.9997873573813202,0.02062134865803584,0.9997897619455135,0.02050443632323069,0
226123197.645024,1.7197392345015885,2.265123209823281,0.0018834,4.6668830107974415,1.6150753299179927,14.34807654,6021.713067889726,7153.840028035235,0.9889284953566256,-0.14839282688755678,0.7684845820698828,-0.639868304513419,-0.9989647820279943,-0.04549026563740514,0.9990198451003475,-0.04426453541694342,0
226135247.554944,1.7197758864158805,2.267507329581505,0.0021401,4.630417846735525,1.6511565215444715,14.34831942,6021.611135835726,7153.759297113972,0.9889230558112093,-0.14842907291032872,0.7669568768050855,-0.6416986435402439,-0.9966422473922488,-0.08187936683272208,0.9967728567874058,-0.08027373151830998,0
