Seconds Since 1995,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Maneuver
524540741.179392,1.7359969764839158,4.087007838797837,0.0194708,0.36226053954394305,5.943910753884408,14.36253814,6015.649821626862,7149.037100618378,0.9863853783106866,-0.1644502522189721,-0.8107400557036823,-0.585406322205005,0.35438896318508095,0.9350981032878868,-0.3328030861826304,0.9429963445461051,0
524552771.91888,1.735998721813168,4.089709608479925,0.0197503,0.3440846807136741,5.953279681309114,14.36189465,6015.919355041363,7149.250642524158,0.9863850912893486,-0.16445197378597637,-0.8123187278117115,-0.5832137553644996,0.33733515118424495,0.9413846162836434,-0.3239537450292932,0.9460729205941241,0
524576849.496768,1.73599174049616,4.095001446771971,0.0197851,0.3325986689062994,5.964879139517869,14.36175849,6015.9763903675,7149.295829211198,0.9863862393566726,-0.1644450875149545,-0.8153936124118518,-0.578906950068792,0.32650038230637485,0.9451970695859098,-0.3129582644808458,0.9497668791304196,0
524602936.940832,1.7342115046591258,4.098935418905967,0.0005973,3.8501160447538996,2.4344201472667306,13.95077819,6193.202904045313,7289.024193441193,0.9866774271932879,-0.1626888277271493,-0.8176647007839793,-0.5756947429774268,-0.6507132569611145,-0.7593235523905858,0.6496869048568054,-0.7602018979571048,0
524602936.940832,1.7342115046591258,4.098935418905967,0.0005973,3.8501160447538996,2.4344201472667306,13.95077819,6193.202904045313,7289.024193441193,0.9866774271932879,-0.1626888277271493,-0.8176647007839793,-0.5756947429774268,-0.6507132569611145,-0.7593235523905858,0.6496869048568054,-0.7602018979571048,0
524633919.741504,1.7342184859761336,4.105284926724722,0.0006679,3.8333137600449496,2.4510513897089847,13.95061316,6193.276167081391,7289.0816774278455,0.9866762913869632,-0.16269571603108832,-0.8213035719622408,-0.5704914045645774,-0.6378636352842033,-0.7701493249896547,0.6369545365706591,-0.7709013674537468,0
524652509.63376,1.7342376845979057,4.1091071977865905,0.0006615,3.8267460860696954,2.4576382623060113,13.95056775,6193.2963265957405,7289.097495040687,0.9866731676716093,-0.16271465882603323,-0.8234781399242318,-0.5673479999673281,-0.6327918251037549,-0.7743219653876926,0.6318629265083823,-0.7750801520515557,0
524689689.408768,1.7342464112441656,4.1167691932028445,0.0007121,3.7901831835696655,2.4945292867054154,13.95092651,6193.137060686875,7288.972530923379,0.9866717476807707,-0.16272326916754576,-0.8278009436595977,-0.5610219226342938,-0.6040637487266957,-0.7969359996099131,0.602845993544902,-0.7978575737980181,0
524702081.920608,1.7342359392686537,4.119265014033197,0.0007061,3.8097797404110585,2.4741316237373576,13.95060265,6193.280832925164,7289.085338356372,0.9866734516607603,-0.1627129367562437,-0.8291985741716752,-0.5589541346046747,-0.6195639667042762,-0.7849461708688453,0.6189938878125661,-0.7853958026693829,0
524714475.598848,1.7342359392686537,4.121806213424101,0.0007123,3.8011770125279782,2.4832562050667844,13.95061437,6193.275629910484,7289.081255951116,0.9866734516607603,-0.1627129367562437,-0.8306163091952792,-0.556845173184443,-0.6127884458126988,-0.7902469997908611,0.6118018114653946,-0.7910110893582099,0
524733065.380512,1.7342376845979057,4.125618012510456,0.0007111,3.789511231807648,2.4948783525558142,13.95061019,6193.277485592191,7289.082711961891,0.9866731676716093,-0.16271465882603323,-0.8327328516353332,-0.55367499294016,-0.6035281098446644,-0.7973417213637617,0.602567451990585,-0.7980679581348784,0
524764048.388544,1.7342376845979057,4.131971010987716,0.0007084,3.7668516221290056,2.5175362169052047,13.95061303,6193.276224793973,7289.081722710473,0.9866731676716093,-0.16271465882603323,-0.8362335196231186,-0.5483735047016141,-0.5853072672528404,-0.8108115705273402,0.5843318175448257,-0.8115148347410296,0
524776441.630464,1.7342341939394017,4.1345122103786185,0.0007064,3.763381907576041,2.5210739992989972,13.95062138,6193.272517872606,7289.078814173914,0.9866737356469056,-0.1627112146859585,-0.8376243444706442,-0.5462467002647464,-0.5824904649618051,-0.812837534953068,0.5814572039222264,-0.8135769908293538,0
524807424.433728,1.7342324486101495,4.140861718197375,0.000737,3.7493861123042986,2.5350907385217636,13.95066205,6193.254462787306,7289.064647726551,0.9866740196300455,-0.16270949261517745,-0.8410758339802089,-0.540917222405144,-0.5710574797821658,-0.8209100771612207,0.5699967625963032,-0.8216469379421636,0
524838407.28624,1.734337168365269,4.147244387271917,0.0007579,3.7064789379732703,2.578069471352124,13.95067686,6193.247888045484,7289.059489025047,0.9866569753218087,-0.16281281598455252,-0.8445111741551803,-0.5355379321084909,-0.5353197696361894,-0.8446494801020463,0.5341679291492564,-0.8453783907034738,0
524887979.891904,1.7341800887325898,4.157339371665453,0.0007915,3.616460091143158,2.6693083033293794,13.95103869,6193.08726180588,7288.93345722416,0.9866825377266414,-0.16265783026130323,-0.8498742982417958,-0.526985462027194,-0.4572205563419883,-0.8893533397128065,0.45492175622128767,-0.8905314119763207,0
524894175.063072,1.734183579391094,4.158618698007165,0.0007797,3.614386639991789,2.6700343602982093,13.95093575,6193.13295884113,7288.969312495845,0.9866819699376916,-0.16266127443210357,-0.8505477889568707,-0.5258977644947529,-0.45537554411621417,-0.8902994517693819,0.45427505983248784,-0.8908614763329872,0
524906568.127008,1.7342673551951897,4.161207021287873,0.0007666,3.681185626453368,2.603697886088409,13.95127618,6192.981838024226,7288.8507382099915,0.9866683393961897,-0.16274393393661538,-0.851906131778378,-0.5236945127060247,-0.5137868383655557,-0.8579178776096966,0.5123291774706226,-0.8587891556792479,0
524912763.995424,1.7342691005244413,4.162477620983324,0.0007632,3.671835897650434,2.6126531704803915,13.95134026,6192.953392995377,7288.8284192115225,0.9866680553529384,-0.16274565599748184,-0.8525708500191072,-0.5226116585933548,-0.5057431989425434,-0.8626840770081264,0.5046180356191029,-0.8633427118635553,0
524925156.51072,1.7342795724999536,4.165048490971512,0.0008026,3.581063068583461,2.7032654292561813,13.95113369,6193.045090086868,7288.900367943642,0.9866663510303141,-0.16275598835227253,-0.8539115976900284,-0.5204180851300837,-0.42546026244355173,-0.9049771074902746,0.42442542327828375,-0.9054628982321968,0
524949942.120192,1.7343144790849931,4.170071548558751,0.0008277,3.7559118983775055,2.5326542588859797,13.9534406,6192.021199416579,7288.096967501928,0.9866606691734556,-0.16279042940599686,-0.8565149041633419,-0.5161222906890006,-0.5764023658578433,-0.81716602513411,0.5719969947747242,-0.8202557149869083,0
524962328.362848,1.7342830631584574,4.172630201242176,0.0008202,3.719553199399959,2.5644559031865684,13.95374506,6191.886094269807,7287.990953330941,0.9866657828987282,-0.1627594324665696,-0.8578326767334296,-0.5139290794733835,-0.5463168710007665,-0.8375785792747638,0.5456266923163284,-0.8380283483462494,0
524968523.848512,1.7342743365121975,4.173907782254635,0.0008299,3.7325017971205052,2.5512734313462553,13.95363517,6191.934857646132,7288.029217017066,0.9866672032051513,-0.16275082217710826,-0.8584885625056682,-0.5128327096109914,-0.5571162372236762,-0.8304345237414763,0.556626249308724,-0.8307630339516211,0
524968524.353952,1.7342795724999536,4.173900800937627,0.0007969,3.7420312948363947,2.5415449660956386,13.95287609,6192.271718224654,7288.293542308478,0.9866663510303141,-0.16275598835227253,-0.8584849822370295,-0.5128387029792965,-0.5650044453060752,-0.8250878600393865,0.5646818309403061,-0.8253086875865924,0
524968524.474048,1.7342376845979057,4.173906036925383,0.0009,3.631239539249046,2.65312735583414,13.95291408,6192.254858348559,7288.28031293834,0.9866731676716093,-0.16271465882603323,-0.8584876674424313,-0.5128342079554107,-0.47031429445083633,-0.8824989883479822,0.4692712162492979,-0.8830540898494863,0
524968525.079712,1.7342376845979057,4.173906036925383,0.0009,3.631237793919794,2.6537417117308424,13.95291407,6192.2548627865235,7288.280316420662,0.9866731676716093,-0.16271465882603323,-0.8584876674424313,-0.5128342079554107,-0.47031275419882057,-0.8824998091999339,0.46872861823696044,-0.8833422227232602,0
524974719.88368,1.7342568832196776,4.1751853632670946,0.0009199,3.568845763819501,2.71542862881333,13.95282832,6192.292918572942,7288.310177482168,0.9866700435925805,-0.16273360156100344,-0.8591430470416964,-0.5117355026963728,-0.4143724041216134,-0.9101074171230967,0.41338097382367045,-0.9105581642490467,0
524974720.058208,1.7342638645366855,4.175204561888867,0.0009093,3.7442321550231594,2.5401260134137673,13.95342823,6192.026688770234,7288.101274866144,0.9866689074736755,-0.1627404898133941,-0.8591528714997251,-0.5117190082396558,-0.5668189784822101,-0.823842366980713,0.5658523360503042,-0.8245066002079144,0
524974720.085856,1.7342568832196776,4.1751853632670946,0.0009207,3.5699802278332977,2.714496622992765,13.95282973,6192.292292812205,7288.309686469821,0.9866700435925805,-0.16273360156100344,-0.8591430470416964,-0.5117355026963728,-0.41540462136316475,-0.9096367409851724,0.4142294396713061,-0.9101724953598608,0
524987111.401056,1.7343162244142454,4.177752742596779,0.0008968,3.661604777575244,2.6231199100046014,13.95334076,6192.065505035369,7288.13173302253,0.9866603850490544,-0.16279215145347684,-0.8604540332583424,-0.5095280724841875,-0.4968906592343261,-0.8678131554463073,0.49555417646055716,-0.8685770306613565,0
525011892.211008,1.7343074977679853,4.1828089614398065,0.0008063,3.680524146666862,2.6034587759808856,13.9537251,6191.894951406202,7287.997903363457,0.9866618056410048,-0.16278354121111915,-0.863019308841838,-0.5051709340076449,-0.5132192306672934,-0.8582575494997242,0.5125345079901573,-0.8586666280456504,0
525030478.121088,1.7342586285489296,4.18659283525813,0.0007953,3.5787225820565367,2.7051800554456187,13.95383583,6191.845815918561,7287.959347605505,0.9866697595673626,-0.16273532362484475,-0.8649246291325521,-0.5019017691938507,-0.42334101234106514,-0.9059704119175428,0.42269102343121856,-0.9062738541471165,0
525042869.05008,1.7342638645366855,4.189151487941554,0.0008006,3.5705282612184237,2.713815944584487,13.95397229,6191.785264036812,7287.911833462442,0.9866689074736755,-0.1627404898133941,-0.8662059888388836,-0.499687086985097,-0.4159030702591747,-0.9094089487953106,0.4148488784278359,-0.9098903274940154,0
525061454.459904,1.7342656098659375,4.1929580510401525,0.0007971,3.5285129501351644,2.7557980944119587,13.95419348,6191.687117126026,7287.834818741407,0.9866686234364355,-0.1627422118752525,-0.8681017990502274,-0.4963862069858091,-0.37733817103798095,-0.9260755394014634,0.37629541432090435,-0.9264997361904961,0
525073844.743488,1.7342917898047172,4.195511467735821,0.0007808,3.534047389193238,2.7504905481566437,13.95435349,6191.616119078261,7287.779107158695,0.9866643625171662,-0.16276804274363613,-0.8693664485184247,-0.49416796556480796,-0.3824576745869984,-0.9239730121326627,0.38120753132152546,-0.924489490510167,0
525098624.351616,1.734305752438733,4.200630518431921,0.0009129,3.637110826852755,2.644325660416333,13.95380505,6191.859474201268,7287.970065031346,0.9866620897503783,-0.16278181916115977,-0.8718847176284196,-0.48971117933534164,-0.4754875637343894,-0.8797224430091204,0.47702531196570963,-0.878889556055832,0
525104822.409408,1.7342882991462134,4.201874938188592,0.0008925,3.6232773472014483,2.661162851710322,13.95376114,6191.878958879756,7287.985354318801,0.9866649306788076,-0.16276459863429707,-0.872493448645999,-0.48862580986866777,-0.4632728342056446,-0.8862157079893526,0.46216036496248414,-0.8867963673007143,0
525129603.162336,1.7342254672931416,4.206997479543196,0.0010758,3.5723503849575056,2.7135611265136954,13.95433487,6191.624380875991,7287.7855901342045,0.986675155532549,-0.16270260432709796,-0.8749849963407641,-0.4841500347811131,-0.4175594345494044,-0.908649612677396,0.41508072145467534,-0.9097845869636758,0
525141991.600416,1.7342568832196776,4.209475847081028,0.0008427,3.4672100054881154,2.8176246378346055,13.95471036,6191.457778131914,7287.6548575565575,0.9866700435925805,-0.16273360156100344,-0.8761822096307768,-0.4819800156920716,-0.31989375894672006,-0.9474534199563257,0.3183306553807892,-0.9479797433726299,0
525166770.504384,1.7343022617802293,4.214638531008427,0.0009902,3.5704130694877922,2.7128123802645905,13.9542497,6191.662171560539,7287.8152441861075,0.9866626579601084,-0.1627783750597541,-0.8786588325074702,-0.47745016080907265,-0.415798311109406,-0.9094568513561079,0.4157618028365411,-0.9094735418373143,0
525185356.729824,1.7342184859761336,4.218404951534231,0.0009771,3.7109173102610913,2.574280361546044,13.9548662,6191.388635456784,7287.600601202271,0.9866762913869632,-0.16269571603108832,-0.8804508740553301,-0.47413738343986894,-0.5390633535101743,-0.8422652200479163,0.537367318420132,-0.8433483059175233,0
525203939.788704,1.7342237219638896,4.222221986608342,0.0010034,3.695638697989133,2.588291864781055,13.95501965,6191.320554679405,7287.5471779233,0.986675439500661,-0.16270088225383894,-0.8822542547134005,-0.47077322570437485,-0.5261322932738459,-0.8504027339880815,0.5254983798322629,-0.8507946008254088,0
525222523.89216,1.7342289579516457,4.22601807773143,0.0010074,3.6752427803503274,2.608747123614428,13.95518573,6191.246872068681,7287.489358640949,0.9866745875873084,-0.16270604847212908,-0.8840349917143249,-0.46742072421390723,-0.508679321674617,-0.8609560660687928,0.5079864346130483,-0.861365069090408,0
525234913.221888,1.7342289579516457,4.228618618316902,0.0009936,3.5615851941312044,2.7205703687897045,13.95451416,6191.5448298201445,7287.723166851365,0.9866745875873084,-0.16270604847212908,-0.8852475476288015,-0.4651201773920293,-0.40775364189908747,-0.9130919819591182,0.4086936767734791,-0.912671615952515,0
525290669.4816,1.7342795724999536,4.240088922161008,0.0009978,3.5558814581356875,2.728274252108008,13.95446286,6191.5675914450785,7287.7410278025245,0.9866663510303141,-0.16275598835227253,-0.8905242659722196,-0.4549357445998716,-0.40253900190685515,-0.9154028358836523,0.40165050279756426,-0.915793029894017,0
525309254.48016,1.7342691005244413,4.243902466576616,0.0010009,3.547971625965649,2.736479044921633,13.95446253,6191.567737865429,7287.741142697886,0.9866680553529384,-0.16274565599748184,-0.8922527039420822,-0.45153639090115755,-0.39528580215932985,-0.9185581824856034,0.39412317582701434,-0.9190576272878803,0
525327839.200512,1.7342673551951897,4.247707284345964,0.0009991,3.5406377524487684,2.743837353048041,13.95447316,6191.563021358809,7287.737441676845,0.9866683393961897,-0.16274393393661538,-0.8939642550784926,-0.4481382717889154,-0.38853864270533195,-0.9214324300374381,0.3873498578546974,-0.9219327999479928,0
525352618.807776,1.7342760818414493,4.252796664444779,0.0010017,3.521964474781681,2.7625193573613886,13.95447717,6191.5612421328715,7287.736045526195,0.9866669191498778,-0.16275254423599192,-0.8962334136224475,-0.4435827637619107,-0.37126574095662823,-0.9285266552942494,0.3700597132463171,-0.9290079701660549,0
525383593.483392,1.7342586285489296,4.259144426934283,0.0010009,3.5079512262174193,2.7765605311936827,13.95445134,6191.57270285053,7287.745038697832,0.9866697595673626,-0.16273532362484475,-0.8990310963478826,-0.4378847882714405,-0.358218039645151,-0.9336379577077965,0.35697930058621985,-0.9341122946161095,0
525414567.960288,1.7342586285489296,4.265493934753038,0.0009997,3.4995579378445782,2.784953819566524,13.95446993,6191.564454501641,7287.738566257531,0.9866697595673626,-0.16273532362484475,-0.9017933078324045,-0.4321675947461703,-0.35036922136661564,-0.9366116637747747,0.3491265447406197,-0.9370755870032449,0
525445542.520128,1.7342638645366855,4.271850423888801,0.0009951,3.485782054058587,2.798693051438223,13.95445927,6191.569184321394,7287.742277725037,0.9866689074736755,-0.1627404898133941,-0.9045221395568006,-0.4264266631574387,-0.33743373090090834,-0.941349285467564,0.33621929983931875,-0.9417837238005116,0
525464127.33984,1.7342603738781814,4.275663968304408,0.0009958,3.4745229350539715,2.810025474271422,13.95445586,6191.5706973328015,7287.743464977834,0.9866694755391392,-0.1627370456881901,-0.9061417553555955,-0.4229741353807348,-0.3268138035664597,-0.9450887459907792,0.3255252478500288,-0.94553334844001,0
525476517.193152,1.7342586285489296,4.278203422366061,0.0009945,3.469381195077596,2.81521259280835,13.9544586,6191.569481599236,7287.742510997542,0.9866697595673626,-0.16273532362484475,-0.9072129558130824,-0.42067166865013667,-0.32195010433286225,-0.9467566373255902,0.32061629697133387,-0.947209158589796,0
525495101.928192,1.7342568832196776,4.282013476123164,0.0009966,3.464105064748817,2.820532356368428,13.95446534,6191.566491074175,7287.740164346618,0.9866700435925805,-0.16273360156100344,-0.9088091488320932,-0.417212093543663,-0.316950434959537,-0.9484421024917442,0.31557285528115087,-0.9489013505152692,0
525526076.441376,1.7342638645366855,4.288369965258927,0.0009932,3.4468926276656493,2.8377011602202966,13.95446326,6191.567413965874,7287.740888535426,0.9866689074736755,-0.1627404898133941,-0.9114427749788641,-0.41142686827530817,-0.30057929105221753,-0.9537568294856642,0.2992356452562483,-0.9541792434380852,0
525550856.128992,1.7342586285489296,4.293452364040735,0.0009976,3.4294742417307464,2.8551178008259472,13.95445513,6191.571021232701,7287.743719140521,0.9866697595673626,-0.16273532362484475,-0.9135220297784554,-0.4067892588422792,-0.2839216298041844,-0.9588474895046322,0.2825725046374823,-0.959245943240262,0
525563246.022048,1.7342516472319216,4.295991818102387,0.0009975,3.425454748463403,2.85922456055589,13.95445781,6191.569832120909,7287.742786050223,0.9866708956502006,-0.16272843536650525,-0.9145521057326108,-0.4044681024506722,-0.2800652655915333,-0.9599809617951514,0.27863074024347617,-0.9603983083030564,0
