Seconds Since 1995,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Maneuver
425033561.231424,1.1525456248469754,1.7868942681305744,0.0003755,4.101933894560894,2.1801832711164724,12.82229964,6738.2608756443005,7710.651355081789,0.9138008374691128,0.4061625652872851,0.9767415624331962,-0.21441996225995055,-0.8193872291186483,-0.5732404109597158,0.8199990634457498,-0.5723648626078414,0
425080705.234176,1.15228731611768,1.7673797417640258,0.0007433,4.572492114191085,1.7113703807382759,12.83092315,6733.732171094797,7707.19614360072,0.9136958916482038,0.40639859446754234,0.9807396270032527,-0.19531969697273424,-0.9902303825589243,-0.13944098915744427,0.9901357277849435,-0.14011152901806534,0
425148048.640224,1.152320477373468,1.7390024334558503,0.0007277,4.592793784050282,1.6907842222110026,12.83094677,6733.71977522435,7707.186685009082,0.9137093678335628,0.4063682949409205,0.9858866760041226,-0.16741404384800612,-0.9928570144490768,-0.11931030491648972,0.9928100848475888,-0.11970018974472603,0
425235595.516416,1.1523100053979562,1.7021026824101861,0.0007164,4.576771661516974,1.706771438159271,12.83094486,6733.720777598291,7707.187449864481,0.9137051123046298,0.40637786326076364,0.9913916993905227,-0.13092936408449898,-0.9908180572638142,-0.13520198741128361,0.9907696195881981,-0.13555648601618916,0
425329876.751616,1.15228731611768,1.662351063366763,0.0007018,4.569175988612296,1.714326968491154,12.83094462,6733.720903551059,7707.1875459719795,0.9136958916482038,0.40639859446754234,0.9958117918897027,-0.09142688408460352,-0.9897625349528162,-0.14272394474570582,0.9897171487691477,-0.14303833553376072,2
425430892.96272,1.15228731611768,1.6197720109351095,0.0006952,4.607318414085379,1.6761478911037782,12.83092274,6733.73238626484,7707.196307784828,0.9136958916482038,0.40639859446754234,0.99880093088594,-0.0489561074982438,-0.9944851644183692,-0.10487734622772088,0.994455654831003,-0.10515679043524077,0
425430892.96272,1.15228731611768,1.6197720109351095,0.0006952,4.607318414085379,1.6761478911037782,12.83092274,6733.73238626484,7707.196307784828,0.9136958916482038,0.40639859446754234,0.99880093088594,-0.0489561074982438,-0.9944851644183692,-0.10487734622772088,0.994455654831003,-0.10515679043524077,0
425437627.469472,1.1522855707884283,1.6169341055713669,0.0006941,4.607147371818684,1.6764219077963414,12.83092238,6733.732575194645,7707.196451946491,0.9136951823474573,0.4064001891670903,0.9989358414772581,-0.046121411644941726,-0.9944672114123739,-0.10504744368949077,0.9944268027810232,-0.10542928393341171,0
425686799.907936,1.152355383958508,1.51247091385175,0.0008964,4.928923254033366,0.9273091395478551,12.8065502,6746.547559701128,7716.971743832429,0.9137235522063412,0.4063364002196034,0.9982995552398826,0.05829234947960697,-0.9766479110991759,0.21484612574029843,0.8000083528502216,0.5999888627048632,2
426024777.799296,1.1524583583843757,1.3708758422959542,0.0005898,4.951773104600476,1.3324785987520789,12.78304455,6758.95321040714,7726.428900947338,0.913765389619349,0.4062423079072381,0.9800823720342672,0.19859139968207176,-0.9714841859185462,0.2371043578472979,0.9717364806641825,0.23606823620806955,2
426132930.976128,1.1527149217844188,1.3256054921577252,0.0007631,4.767220244165343,1.5165654562769286,12.78304158,6758.954780776047,7726.430097714831,0.9138695864517618,0.4060078557842028,0.9700910191595197,0.242741456175175,-0.998497142836982,0.05480379317514073,0.9985298666980366,0.054204292376169506,0
426193767.129024,1.152700959150403,1.3002126968704597,0.0007499,4.770655052133268,1.512710023959273,12.78303861,6758.9563511456845,7726.431294482789,0.9138639174235822,0.4060206157711995,0.9636150597847979,0.2672938767647707,-0.9983030126198381,0.05823310908886199,0.9983134649914903,0.05805364430149502,0
