Catalog Number,Year,Day of Year,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Julian Date,Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Delta Julian Date,Delta Inclination (rad),Delta Omega (rad),Delta Eccentricity,Delta Argument of Perigee (rad),Delta Mean Anomaly (rad),Delta Mean Motion (rev/day),Delta Orbital Period (s),Delta Semi-major axis (km),Maneuver
26997,2001,356.17575452,1.152700959150403,6.092689600641413,0.0008512,4.661221162703972,1.4362646027219215,12.80257876,6748.640380947752,7718.567563265793,2547.1757545200003,0.9138639174235822,0.4060206157711995,-0.1893456576727534,0.9819104958805932,-0.998691212803897,-0.05114549313753088,0.9909642479613189,0.1341262810282076,2.0284878300003584,5.235987755813909e-06,-0.0735132680940005,4.889999999999994e-05,-0.08525409797216632,-0.10061299538971746,-0.01611124000000075,8.482065238425093,6.46877117456097,0
26997,2001,356.95923107,1.1526957231626471,6.064347198918277,0.0008461,4.625516962195924,1.657748630129254,12.80259284,6748.632958946775,7718.5619041282225,2547.95923107,0.9138617914920825,0.406025400745916,-0.2170955888476549,0.9761503497427484,-0.996228998689294,-0.08676279254684292,0.996222029715171,-0.08684277465733573,0.7834765499997047,-5.235987755813909e-06,-0.028342401723135957,-5.099999999999961e-06,-0.035704200508048345,0.22148402740733264,1.4080000001470694e-05,-0.0074220009773853235,-0.005659137570546591,0
26997,2001,357.97475068,1.152688741845639,6.0275783475665135,0.0008392,4.6156541065929035,1.6676289390247943,12.80259043,6748.634229330727,7718.5628727724825,2548.97475068,0.9138589568777763,0.4060317806948893,-0.2528326946742526,0.9675100146787919,-0.9953248295145345,-0.09658407607811362,0.9953153847837366,-0.0966813571108846,1.0155196099999557,-6.981317008047938e-06,-0.036768851351763665,-6.900000000000005e-06,-0.00986285560302047,0.009880308895540146,-2.410000000452328e-06,0.0012703839520327165,0.0009686442599559086,0
26997,2001,358.99026954,1.152690487174891,5.990821713519512,0.0008361,4.609627484685767,1.6736642875781904,12.80259205,6748.633375379637,7718.562221650582,2549.99026954,0.9138596655355284,0.4060301857095012,-0.28821632339856196,0.9575653246262709,-0.9947246821996693,-0.10258073221988144,0.9947137552958696,-0.10268663508553062,1.0155188600001566,1.7453292520119845e-06,-0.036756634047001135,-3.100000000000021e-06,-0.006026621907136764,0.006035348553396158,1.6199999990362812e-06,-0.0008539510899936431,-0.0006511219007734326,0
26997,2001,359.92767125,1.152688741845639,5.956885531543734,0.0008296,4.597214703045584,1.6861015038279017,12.802594,6748.632347475832,7718.561437892919,2550.92767125,0.9138589568777763,0.4060317806948893,-0.320540249112914,0.9472348962631344,-0.9933747714808059,-0.11491981284990258,0.9933597200019197,-0.11504984431848496,0.9374017099999037,-1.7453292520119845e-06,-0.03393618197577819,-6.499999999999995e-06,-0.012412781640183113,0.01243721624971128,1.949999999695251e-06,-0.0010279038051521638,-0.0007837576631573029,0
26997,2001,360.4744895,1.1526835058578828,5.937093497826119,0.0008221,4.5933592707279285,1.6899691534503214,12.80259332,6748.632705924303,7718.5617112032605,2551.4744895,0.9138568308878169,0.40603656564363266,-0.339223950451873,0.9407056454810002,-0.9929243240879049,-0.1187488384556969,0.9929073189418344,-0.11889094158824008,0.5468182499998875,-5.235987756257998e-06,-0.019792033717615176,-7.50000000000002e-06,-0.003855432317655172,0.0038676496224197,-6.799999994200334e-07,0.0003584484711609548,0.00027331034198141424,0
26997,2001,360.63072314,1.1526835058578828,5.931438631049658,0.0008211,4.595729427852136,1.687598996326113,12.80259365,6748.632531971363,7718.561578567356,2551.63072314,0.9138568308878169,0.40603656564363266,-0.34453806344631493,0.9387723487814621,-0.9932029882830705,-0.11639512045433423,0.9931863199912011,-0.11653726349256506,0.15623364000020956,0.0,-0.005654866776461098,-1.0000000000000243e-06,0.00237015712420785,-0.002370157124208294,3.3000000065896984e-07,-0.00017395293980371207,-0.0001326359042650438,0
26997,2001,361.95870948,1.1526835058578828,5.883377499437488,0.0008195,4.587695677305207,1.695637982860799,12.80259374,6748.632484529654,7718.561542393929,2552.95870948,0.9138568308878169,0.40603656564363266,-0.3892413143254969,0.9211358201818881,-0.9922358579209803,-0.12437042355727537,0.9922173962784258,-0.12451762334088026,1.3279863399998248,0.0,-0.04806113161216974,-1.5999999999999305e-06,-0.008033750546929674,0.008038986534685932,9.000000034120603e-08,-4.744170928461244e-05,-3.617342736106366e-05,0
26997,2001,362.97422787,1.152686996516387,5.8466226107197405,0.000817,4.587543833660283,1.6957933171642265,12.802595,6748.631820345797,7718.5610359659895,2553.97422787,0.9138582482172403,0.4060333756790405,-0.4228270488482427,0.906210398727738,-0.9922169616238801,-0.12452108683221405,0.9921980424497369,-0.12467174723613297,1.0155183900001248,3.4906585042460136e-06,-0.03675488871774757,-2.5000000000000066e-06,-0.00015184364492348834,0.0001553343034275123,1.259999999447814e-06,-0.0006641838572249981,-0.0005064279393991455,0
26997,2001,363.98974638,1.152688741845639,5.8098712126604966,0.0008146,4.581409001339524,1.7019351308019945,12.80259568,6748.631461897421,7718.5607626557085,2554.98974638,0.9138589568777763,0.4060317806948893,-0.45583853447447054,0.8900624868446972,-0.9914343788641955,-0.13060579009434053,0.9914136228999941,-0.13076325297387006,1.0155185099997652,1.7453292520119845e-06,-0.03675139805924399,-2.4000000000000583e-06,-0.006134832320759287,0.006141813637768001,6.799999994200334e-07,-0.0003584483756640111,-0.0002733102810452692,0
